日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20260605,000852,中证1000,CSI 1000,000778,新兴铸管,Xinxing Ductile Iron Pipes Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000791,甘肃能源,"GEPIC Energy Development Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000795,英洛华,"Innuovo Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000801,四川九洲,Sichuan Jiuzhou Electric Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000810,创维数字,"SKYWORTH DIGITAL CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000811,冰轮环境,"Moon Environment Technology Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000813,德展健康,Xinjiang Tianshan Wool Tex Stock Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000828,东莞控股,Dongguan Development (Holdings) Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000829,天音控股,"Telling Telecommunication Holding Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000833,粤桂股份,"Guangxi Yuegui Guangye Holdings Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000837,秦川机床,"Qinchuan Machine Tool & Tool Group Share Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000848,承德露露,He Bei Cheng De Lolo Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000860,顺鑫农业,Beijing Shunxin Agriculture Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000875,电投绿能,"SPIC Green Energy Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000880,潍柴重机,"Weichai Heavy Machinery Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000885,城发环境,"City Development Environment CO.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000899,赣能股份,Jiangxi Ganneng Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000901,航天科技,"Aerospace Hi-Tech Holding Group Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260605,000852,中证1000,CSI 1000,000902,新洋丰,"Xinyangfeng Agricultural Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
